Date,Time,Sample Duration,Flow Rate,Laser OK,Flow OK,Temp OK,RH OK,Temp,RH,CO2,VOC,BP,Ch1 Size,Ch1 Count,Ch1 Alarm,Ch2 Size,Ch2 Count,Ch2 Alarm,Ch3 Size,Ch3 Count,Ch3 Alarm,Ch4 Size,Ch4 Count,Ch4 Alarm,Ch5 Size,Ch5 Count,Ch5 Alarm,Ch6 Size,Ch6 Count,Ch6 Alarm,TempF
3/4/2020,9:54:09 AM,120,0.1,1,1,1,1,21.3,34,618,0,101.75,0.3,34428,0,0.5,11200,0,1,1658,0,2.5,410,0,5,171,0,10,85,0,70.34
3/4/2020,9:59:09 AM,120,0.1,1,1,1,1,21.9,33,526,0,101.9375,0.3,32589,0,0.5,10944,0,1,1805,0,2.5,544,0,5,229,0,10,128,0,71.42
3/4/2020,10:04:09 AM,120,0.1,1,1,1,1,22.1,32,485,0,101.8125,0.3,31379,0,0.5,10665,0,1,1740,0,2.5,425,0,5,169,0,10,71,0,71.78
3/4/2020,10:09:09 AM,120,0.1,1,1,1,1,22.4,32,496,0,101.9375,0.3,30784,0,0.5,10728,0,1,1795,0,2.5,462,0,5,174,0,10,89,0,72.32
3/4/2020,10:14:09 AM,120,0.1,1,1,1,1,22.6,31,501,0,101.75,0.3,28808,0,0.5,10420,0,1,1621,0,2.5,361,0,5,123,0,10,66,0,72.68
3/4/2020,10:19:09 AM,120,0.1,1,1,1,1,22.9,31,497,0,101.8125,0.3,27990,0,0.5,10461,0,1,1601,0,2.5,306,0,5,100,0,10,60,0,73.22
3/4/2020,10:24:09 AM,120,0.1,1,1,1,1,23.2,30,483,0,101.9375,0.3,27944,0,0.5,10384,0,1,1628,0,2.5,318,0,5,110,0,10,49,0,73.76
3/4/2020,10:29:09 AM,120,0.1,1,1,1,1,23.3,30,479,0,102,0.3,27565,0,0.5,10132,0,1,1531,0,2.5,268,0,5,90,0,10,38,0,73.94
3/4/2020,10:34:09 AM,120,0.1,1,1,1,1,23.5,30,462,0,101.875,0.3,27534,0,0.5,10147,0,1,1681,0,2.5,363,0,5,155,0,10,74,0,74.3
3/4/2020,10:39:09 AM,120,0.1,1,1,1,1,23.7,29,449,0,101.875,0.3,27441,0,0.5,10149,0,1,1556,0,2.5,333,0,5,116,0,10,44,0,74.66
3/4/2020,10:44:09 AM,120,0.1,1,1,1,1,23.6,29,449,0,101.875,0.3,26989,0,0.5,10036,0,1,1617,0,2.5,303,0,5,128,0,10,59,0,74.48
3/4/2020,10:49:09 AM,120,0.1,1,1,1,1,23.7,29,446,0,101.9375,0.3,26828,0,0.5,9756,0,1,1657,0,2.5,309,0,5,120,0,10,45,0,74.66
3/4/2020,10:54:09 AM,120,0.1,1,1,1,1,23.9,29,434,0,101.9375,0.3,26729,0,0.5,10236,0,1,1682,0,2.5,309,0,5,107,0,10,78,0,75.02
3/4/2020,10:59:09 AM,120,0.1,1,1,1,1,24,29,440,0,101.8125,0.3,26284,0,0.5,9862,0,1,1704,0,2.5,345,0,5,141,0,10,64,0,75.2
3/4/2020,11:04:09 AM,120,0.1,1,1,1,1,24,29,453,0,102.125,0.3,26422,0,0.5,9772,0,1,1585,0,2.5,482,0,5,203,0,10,93,0,75.2
3/4/2020,11:09:09 AM,120,0.1,1,1,1,1,23.8,29,453,0,102,0.3,25634,0,0.5,9469,0,1,1462,0,2.5,394,0,5,137,0,10,64,0,74.84
3/4/2020,11:14:09 AM,120,0.1,1,1,1,1,23.9,29,444,0,102.0625,0.3,25521,0,0.5,9316,0,1,1540,0,2.5,255,0,5,82,0,10,43,0,75.02
3/4/2020,11:19:09 AM,120,0.1,1,1,1,1,23.8,29,437,0,101.75,0.3,25132,0,0.5,9216,0,1,1542,0,2.5,263,0,5,82,0,10,39,0,74.84
3/4/2020,11:24:09 AM,120,0.1,1,1,1,1,23.9,29,426,0,102,0.3,25257,0,0.5,8944,0,1,1496,0,2.5,207,0,5,65,0,10,27,0,75.02
3/4/2020,11:29:09 AM,120,0.1,1,1,1,1,23.6,29,422,0,101.75,0.3,24755,0,0.5,8903,0,1,1337,0,2.5,234,0,5,62,0,10,41,0,74.48
3/4/2020,11:34:09 AM,120,0.1,1,1,1,1,23.7,29,421,0,101.75,0.3,27480,0,0.5,9035,0,1,1452,0,2.5,201,0,5,51,0,10,31,0,74.66
3/4/2020,11:39:09 AM,120,0.1,1,1,1,1,24,28,414,0,101.9375,0.3,28759,0,0.5,9313,0,1,1476,0,2.5,326,0,5,107,0,10,55,0,75.2
3/4/2020,11:44:09 AM,120,0.1,1,1,1,1,23.9,28,406,0,101.75,0.3,28046,0,0.5,9132,0,1,1410,0,2.5,282,0,5,54,0,10,44,0,75.02
3/4/2020,11:49:09 AM,120,0.1,1,1,1,1,24,28,404,0,101.75,0.3,27228,0,0.5,8879,0,1,1363,0,2.5,256,0,5,70,0,10,25,0,75.2
3/4/2020,11:54:09 AM,120,0.1,1,1,1,1,24,28,416,0,101.75,0.3,28027,0,0.5,9004,0,1,1396,0,2.5,258,0,5,95,0,10,42,0,75.2
3/4/2020,11:59:09 AM,120,0.1,1,1,1,1,23.9,28,421,0,101.875,0.3,28017,0,0.5,9067,0,1,1454,0,2.5,321,0,5,130,0,10,67,0,75.02
3/4/2020,12:04:09 PM,120,0.1,1,1,1,1,23.7,28,412,0,101.75,0.3,27591,0,0.5,9156,0,1,1449,0,2.5,336,0,5,134,0,10,65,0,74.66
3/4/2020,12:09:09 PM,120,0.1,1,1,1,1,23.8,28,412,0,101.75,0.3,27773,0,0.5,9286,0,1,1285,0,2.5,222,0,5,88,0,10,41,0,74.84
3/4/2020,12:14:09 PM,120,0.1,1,1,1,1,23.8,28,415,0,101.75,0.3,28621,0,0.5,9146,0,1,1404,0,2.5,362,0,5,154,0,10,68,0,74.84
3/4/2020,12:19:09 PM,120,0.1,1,1,1,1,23.7,28,418,0,101.875,0.3,28013,0,0.5,9082,0,1,1321,0,2.5,259,0,5,102,0,10,50,0,74.66
3/4/2020,12:24:09 PM,120,0.1,1,1,1,1,24,28,413,0,101.875,0.3,27909,0,0.5,8968,0,1,1436,0,2.5,264,0,5,100,0,10,36,0,75.2
3/4/2020,12:29:09 PM,120,0.1,1,1,1,1,23.8,28,410,0,101.9375,0.3,28652,0,0.5,9069,0,1,1295,0,2.5,277,0,5,90,0,10,42,0,74.84
3/4/2020,12:34:09 PM,120,0.1,1,1,1,1,23.8,28,411,0,101.875,0.3,28236,0,0.5,9001,0,1,1310,0,2.5,237,0,5,70,0,10,39,0,74.84
3/4/2020,12:39:09 PM,120,0.1,1,1,1,1,24.1,28,408,0,101.75,0.3,27871,0,0.5,8862,0,1,1326,0,2.5,220,0,5,73,0,10,28,0,75.38
3/4/2020,12:44:09 PM,120,0.1,1,1,1,1,23.8,28,420,0,101.75,0.3,26585,0,0.5,8795,0,1,1326,0,2.5,294,0,5,115,0,10,59,0,74.84
3/4/2020,12:49:09 PM,120,0.1,1,1,1,1,23.7,28,402,0,101.75,0.3,25723,0,0.5,8479,0,1,1237,0,2.5,205,0,5,57,0,10,27,0,74.66
3/4/2020,12:54:09 PM,120,0.1,1,1,1,1,23.7,27,397,0,101.75,0.3,24969,0,0.5,8401,0,1,1179,0,2.5,190,0,5,62,0,10,26,0,74.66
3/4/2020,12:59:09 PM,120,0.1,1,1,1,1,23.9,27,409,0,101.75,0.3,24434,0,0.5,8096,0,1,1257,0,2.5,372,0,5,160,0,10,74,0,75.02
3/4/2020,1:04:09 PM,120,0.1,1,1,1,1,23.9,27,409,0,101.75,0.3,23601,0,0.5,7962,0,1,1396,0,2.5,465,0,5,175,0,10,112,0,75.02
3/4/2020,1:09:09 PM,120,0.1,1,1,1,1,24,27,415,0,101.75,0.3,23153,0,0.5,7800,0,1,1392,0,2.5,491,0,5,219,0,10,139,0,75.2
3/4/2020,1:14:09 PM,120,0.1,1,1,1,1,24,27,405,0,101.9375,0.3,22123,0,0.5,7345,0,1,1219,0,2.5,344,0,5,140,0,10,71,0,75.2
3/4/2020,1:19:09 PM,120,0.1,1,1,1,1,23.9,27,409,0,101.75,0.3,21729,0,0.5,7284,0,1,1223,0,2.5,306,0,5,152,0,10,51,0,75.02
3/4/2020,1:24:09 PM,120,0.1,1,1,1,1,23.9,27,412,0,101.75,0.3,21180,0,0.5,7123,0,1,1214,0,2.5,341,0,5,131,0,10,56,0,75.02
3/4/2020,1:29:09 PM,120,0.1,1,1,1,1,23.9,26,411,0,101.75,0.3,20389,0,0.5,6906,0,1,1157,0,2.5,249,0,5,102,0,10,37,0,75.02
3/4/2020,1:34:09 PM,120,0.1,1,1,1,1,24,26,417,0,101.75,0.3,19865,0,0.5,6742,0,1,1121,0,2.5,263,0,5,104,0,10,42,0,75.2
3/4/2020,1:39:09 PM,120,0.1,1,1,1,1,24,26,421,0,101.75,0.3,19711,0,0.5,6651,0,1,1114,0,2.5,190,0,5,100,0,10,32,0,75.2
3/4/2020,1:44:09 PM,120,0.1,1,1,1,1,23.8,26,424,0,101.75,0.3,19766,0,0.5,6763,0,1,1115,0,2.5,177,0,5,62,0,10,30,0,74.84
3/4/2020,1:49:09 PM,120,0.1,1,1,1,1,24,26,432,0,101.6875,0.3,20138,0,0.5,6920,0,1,1187,0,2.5,264,0,5,107,0,10,60,0,75.2
3/4/2020,1:54:09 PM,120,0.1,1,1,1,1,23.9,26,426,0,101.75,0.3,19599,0,0.5,6675,0,1,1151,0,2.5,201,0,5,76,0,10,25,0,75.02
3/4/2020,1:59:09 PM,120,0.1,1,1,1,1,23.9,26,429,0,101.75,0.3,19987,0,0.5,7042,0,1,1282,0,2.5,399,0,5,187,0,10,72,0,75.02
3/4/2020,2:04:09 PM,120,0.1,1,1,1,1,23.8,26,429,0,101.75,0.3,19653,0,0.5,6653,0,1,1233,0,2.5,352,0,5,143,0,10,69,0,74.84
3/4/2020,2:09:09 PM,120,0.1,1,1,1,1,24,26,431,0,101.75,0.3,19662,0,0.5,6823,0,1,1263,0,2.5,361,0,5,163,0,10,79,0,75.2
3/4/2020,2:14:09 PM,120,0.1,1,1,1,1,24,26,424,0,101.5625,0.3,19228,0,0.5,6662,0,1,1229,0,2.5,355,0,5,169,0,10,80,0,75.2
3/4/2020,2:19:09 PM,120,0.1,1,1,1,1,23.9,26,415,0,101.9375,0.3,18893,0,0.5,6610,0,1,1120,0,2.5,249,0,5,100,0,10,53,0,75.02
3/4/2020,2:24:09 PM,120,0.1,1,1,1,1,24,26,415,0,101.6875,0.3,19654,0,0.5,6775,0,1,1071,0,2.5,214,0,5,70,0,10,20,0,75.2
3/4/2020,2:29:09 PM,120,0.1,1,1,1,1,24.1,25,413,0,101.625,0.3,20285,0,0.5,6797,0,1,1139,0,2.5,264,0,5,102,0,10,35,0,75.38
3/4/2020,2:34:09 PM,120,0.1,1,1,1,1,24,25,413,0,101.625,0.3,20730,0,0.5,6832,0,1,1259,0,2.5,270,0,5,83,0,10,50,0,75.2
3/4/2020,2:39:09 PM,120,0.1,1,1,1,1,24,26,417,0,101.625,0.3,20942,0,0.5,6715,0,1,1173,0,2.5,269,0,5,89,0,10,57,0,75.2
3/4/2020,2:44:09 PM,120,0.1,1,1,1,1,24,25,407,0,101.625,0.3,20974,0,0.5,6712,0,1,1233,0,2.5,174,0,5,73,0,10,25,0,75.2
3/4/2020,2:49:09 PM,120,0.1,1,1,1,1,23.8,25,416,0,101.5625,0.3,20479,0,0.5,6798,0,1,1283,0,2.5,258,0,5,97,0,10,47,0,74.84
3/4/2020,2:54:09 PM,120,0.1,1,1,1,1,24.1,25,404,0,101.5625,0.3,20008,0,0.5,6570,0,1,1141,0,2.5,153,0,5,49,0,10,25,0,75.38
3/4/2020,2:59:09 PM,120,0.1,1,1,1,1,24,25,407,0,101.6875,0.3,20110,0,0.5,6501,0,1,1192,0,2.5,153,0,5,54,0,10,26,0,75.2
3/4/2020,3:04:09 PM,120,0.1,1,1,1,1,23.8,25,404,0,101.5,0.3,19819,0,0.5,6424,0,1,1204,0,2.5,147,0,5,77,0,10,31,0,74.84
3/4/2020,3:09:09 PM,120,0.1,1,1,1,1,24,25,398,0,101.5,0.3,19497,0,0.5,6320,0,1,1153,0,2.5,184,0,5,68,0,10,31,0,75.2
3/4/2020,3:14:09 PM,120,0.1,1,1,1,1,24.1,25,409,0,101.5625,0.3,19461,0,0.5,6421,0,1,1214,0,2.5,232,0,5,94,0,10,37,0,75.38
3/4/2020,3:19:09 PM,120,0.1,1,1,1,1,24,25,408,0,101.6875,0.3,18938,0,0.5,6344,0,1,1196,0,2.5,311,0,5,156,0,10,61,0,75.2
3/4/2020,3:24:09 PM,120,0.1,1,1,1,1,24.1,25,408,0,101.625,0.3,18376,0,0.5,6193,0,1,1243,0,2.5,228,0,5,99,0,10,64,0,75.38
3/4/2020,3:29:09 PM,120,0.1,1,1,1,1,24.1,24,395,0,101.5,0.3,17933,0,0.5,6118,0,1,1104,0,2.5,181,0,5,78,0,10,29,0,75.38
3/4/2020,3:34:09 PM,120,0.1,1,1,1,1,23.8,25,396,0,101.5625,0.3,17660,0,0.5,5911,0,1,1094,0,2.5,206,0,5,85,0,10,39,0,74.84
3/4/2020,3:39:09 PM,120,0.1,1,1,1,1,24.1,24,397,0,101.625,0.3,16942,0,0.5,5634,0,1,1162,0,2.5,181,0,5,74,0,10,24,0,75.38
3/4/2020,3:44:09 PM,120,0.1,1,1,1,1,23.9,25,397,0,101.5,0.3,19716,0,0.5,6002,0,1,1140,0,2.5,201,0,5,68,0,10,36,0,75.02
3/4/2020,3:49:09 PM,120,0.1,1,1,1,1,23.9,25,399,0,101.6875,0.3,22597,0,0.5,5887,0,1,1074,0,2.5,235,0,5,106,0,10,52,0,75.02
3/4/2020,3:54:09 PM,120,0.1,1,1,1,1,23.9,24,392,0,101.625,0.3,23015,0,0.5,6032,0,1,973,0,2.5,164,0,5,45,0,10,12,0,75.02
3/4/2020,3:59:09 PM,120,0.1,1,1,1,1,24.2,24,396,0,101.5,0.3,22826,0,0.5,6013,0,1,1027,0,2.5,113,0,5,35,0,10,22,0,75.56
3/4/2020,4:04:09 PM,120,0.1,1,1,1,1,24,24,384,0,101.5,0.3,22244,0,0.5,5834,0,1,1093,0,2.5,128,0,5,65,0,10,32,0,75.2
