TimeStamp_1h,PM25,Name
8/1/2019 2:00,2.9,Bellevue-SE 12th St
8/1/2019 3:00,1.8,Bellevue-SE 12th St
8/1/2019 4:00,1.1,Bellevue-SE 12th St
8/1/2019 5:00,0.7,Bellevue-SE 12th St
8/1/2019 6:00,0.9,Bellevue-SE 12th St
8/1/2019 7:00,1.1,Bellevue-SE 12th St
8/1/2019 8:00,0.9,Bellevue-SE 12th St
8/1/2019 9:00,1,Bellevue-SE 12th St
8/1/2019 10:00,2.6,Bellevue-SE 12th St
8/1/2019 11:00,3,Bellevue-SE 12th St
8/1/2019 12:00,2.7,Bellevue-SE 12th St
8/1/2019 13:00,2.8,Bellevue-SE 12th St
8/1/2019 14:00,2.9,Bellevue-SE 12th St
8/1/2019 15:00,2.7,Bellevue-SE 12th St
8/1/2019 16:00,2.7,Bellevue-SE 12th St
8/1/2019 17:00,2.4,Bellevue-SE 12th St
8/1/2019 18:00,2.5,Bellevue-SE 12th St
8/1/2019 19:00,2.3,Bellevue-SE 12th St
8/1/2019 20:00,2,Bellevue-SE 12th St
8/1/2019 21:00,1.6,Bellevue-SE 12th St
8/1/2019 22:00,1.3,Bellevue-SE 12th St
8/1/2019 23:00,0.8,Bellevue-SE 12th St
8/2/2019 0:00,0.8,Bellevue-SE 12th St
8/2/2019 1:00,0.9,Bellevue-SE 12th St
8/2/2019 2:00,0.9,Bellevue-SE 12th St
8/2/2019 3:00,1,Bellevue-SE 12th St
8/2/2019 4:00,1,Bellevue-SE 12th St
8/2/2019 5:00,1.1,Bellevue-SE 12th St
8/2/2019 6:00,0.9,Bellevue-SE 12th St
8/2/2019 7:00,0.6,Bellevue-SE 12th St
8/2/2019 8:00,0.6,Bellevue-SE 12th St
8/2/2019 9:00,0.6,Bellevue-SE 12th St
8/2/2019 10:00,0.7,Bellevue-SE 12th St
8/2/2019 11:00,0.7,Bellevue-SE 12th St
8/2/2019 12:00,0.8,Bellevue-SE 12th St
8/2/2019 13:00,0.7,Bellevue-SE 12th St
8/2/2019 14:00,0.5,Bellevue-SE 12th St
8/2/2019 15:00,0.8,Bellevue-SE 12th St
8/2/2019 16:00,1.1,Bellevue-SE 12th St
8/2/2019 17:00,1.3,Bellevue-SE 12th St
8/2/2019 18:00,1.5,Bellevue-SE 12th St
8/2/2019 19:00,1.5,Bellevue-SE 12th St
8/2/2019 20:00,2.2,Bellevue-SE 12th St
8/2/2019 21:00,3.5,Bellevue-SE 12th St
8/2/2019 22:00,5.5,Bellevue-SE 12th St
8/2/2019 23:00,7.2,Bellevue-SE 12th St
8/3/2019 0:00,8.1,Bellevue-SE 12th St
8/3/2019 1:00,9,Bellevue-SE 12th St
8/3/2019 2:00,8.6,Bellevue-SE 12th St
8/3/2019 3:00,9.3,Bellevue-SE 12th St
8/3/2019 4:00,9.7,Bellevue-SE 12th St
8/3/2019 5:00,10.9,Bellevue-SE 12th St
8/3/2019 6:00,10.9,Bellevue-SE 12th St
8/3/2019 7:00,9.8,Bellevue-SE 12th St
8/3/2019 8:00,8.8,Bellevue-SE 12th St
8/3/2019 9:00,9,Bellevue-SE 12th St
8/3/2019 10:00,11.2,Bellevue-SE 12th St
8/3/2019 11:00,11,Bellevue-SE 12th St
8/3/2019 12:00,10.1,Bellevue-SE 12th St
8/3/2019 13:00,8.8,Bellevue-SE 12th St
8/3/2019 14:00,10.8,Bellevue-SE 12th St
8/3/2019 15:00,11.7,Bellevue-SE 12th St
8/3/2019 16:00,10.5,Bellevue-SE 12th St
8/3/2019 17:00,9.6,Bellevue-SE 12th St
8/3/2019 18:00,9.5,Bellevue-SE 12th St
8/3/2019 19:00,9.1,Bellevue-SE 12th St
8/3/2019 20:00,8.6,Bellevue-SE 12th St
8/3/2019 21:00,8.7,Bellevue-SE 12th St
8/3/2019 22:00,10.3,Bellevue-SE 12th St
8/3/2019 23:00,10.2,Bellevue-SE 12th St
8/4/2019 0:00,9.8,Bellevue-SE 12th St
8/4/2019 1:00,9.3,Bellevue-SE 12th St
8/4/2019 2:00,9.6,Bellevue-SE 12th St
8/4/2019 3:00,9,Bellevue-SE 12th St
8/4/2019 4:00,8.6,Bellevue-SE 12th St
8/4/2019 5:00,8,Bellevue-SE 12th St
8/4/2019 6:00,7.6,Bellevue-SE 12th St
8/4/2019 7:00,7.4,Bellevue-SE 12th St
8/4/2019 8:00,7.6,Bellevue-SE 12th St
8/4/2019 9:00,8.7,Bellevue-SE 12th St
8/4/2019 10:00,10,Bellevue-SE 12th St
8/4/2019 11:00,9.1,Bellevue-SE 12th St
8/4/2019 12:00,8.7,Bellevue-SE 12th St
8/4/2019 13:00,8.6,Bellevue-SE 12th St
8/4/2019 14:00,8.4,Bellevue-SE 12th St
8/4/2019 15:00,8.2,Bellevue-SE 12th St
8/4/2019 16:00,8.1,Bellevue-SE 12th St
8/4/2019 17:00,7.7,Bellevue-SE 12th St
8/4/2019 18:00,7.5,Bellevue-SE 12th St
8/4/2019 19:00,7.5,Bellevue-SE 12th St
8/4/2019 20:00,7.6,Bellevue-SE 12th St
8/4/2019 21:00,8,Bellevue-SE 12th St
8/4/2019 22:00,8.2,Bellevue-SE 12th St
8/4/2019 23:00,8.7,Bellevue-SE 12th St
8/5/2019 0:00,8.6,Bellevue-SE 12th St
8/5/2019 1:00,8.3,Bellevue-SE 12th St
8/5/2019 2:00,8.1,Bellevue-SE 12th St
8/5/2019 3:00,7.5,Bellevue-SE 12th St
8/5/2019 4:00,7.2,Bellevue-SE 12th St
8/5/2019 5:00,7.1,Bellevue-SE 12th St
8/5/2019 6:00,6.6,Bellevue-SE 12th St
8/5/2019 7:00,6.5,Bellevue-SE 12th St
8/5/2019 8:00,6.6,Bellevue-SE 12th St
8/5/2019 9:00,8.8,Bellevue-SE 12th St
8/5/2019 10:00,8.6,Bellevue-SE 12th St
8/5/2019 11:00,8.5,Bellevue-SE 12th St
8/5/2019 12:00,8.9,Bellevue-SE 12th St
8/5/2019 13:00,9.1,Bellevue-SE 12th St
8/5/2019 14:00,8.7,Bellevue-SE 12th St
8/5/2019 15:00,8.6,Bellevue-SE 12th St
8/5/2019 16:00,7.7,Bellevue-SE 12th St
8/5/2019 17:00,7.5,Bellevue-SE 12th St
8/5/2019 18:00,7.2,Bellevue-SE 12th St
8/5/2019 19:00,7.3,Bellevue-SE 12th St
8/5/2019 20:00,7.5,Bellevue-SE 12th St
8/5/2019 21:00,7.1,Bellevue-SE 12th St
8/5/2019 22:00,7.5,Bellevue-SE 12th St
8/5/2019 23:00,7.9,Bellevue-SE 12th St
8/6/2019 0:00,7.8,Bellevue-SE 12th St
8/6/2019 1:00,6.5,Bellevue-SE 12th St
8/6/2019 2:00,6.3,Bellevue-SE 12th St
8/6/2019 3:00,6,Bellevue-SE 12th St
