"","ID_10m","PA_Floor_A","PA_Floor_B"
"1",2020-09-08 23:00:00,10.18,12.23
"2",2020-09-08 23:10:00,34.698,35.024
"3",2020-09-08 23:20:00,50.67,50.926
"4",2020-09-08 23:30:00,53.794,52.658
"5",2020-09-08 23:40:00,57.28,56.33
"6",2020-09-08 23:50:00,61.964,60.834
"7",2020-09-09 00:00:00,68.06,65.24
"8",2020-09-09 00:10:00,71.928,68.644
"9",2020-09-09 00:20:00,72.682,70.664
"10",2020-09-09 00:30:00,74.41,71.606
"11",2020-09-09 00:40:00,75.358,70.25
"12",2020-09-09 00:50:00,75.246,69.358
"13",2020-09-09 01:00:00,73.584,70.228
"14",2020-09-09 01:10:00,76.07,70.46
"15",2020-09-09 01:20:00,77.082,72.344
"16",2020-09-09 01:30:00,74.414,71.904
"17",2020-09-09 01:40:00,71.604,69.754
"18",2020-09-09 01:50:00,70.706,69.068
"19",2020-09-09 02:00:00,69.238,69.812
"20",2020-09-09 02:10:00,69.814,69.18
"21",2020-09-09 02:20:00,70.824,67.846
"22",2020-09-09 02:30:00,68.236,68.182
"23",2020-09-09 02:40:00,68.052,67.7
"24",2020-09-09 02:50:00,68.084,68.068
"25",2020-09-09 03:00:00,69.842,68.45
"26",2020-09-09 03:10:00,70.554,70.312
"27",2020-09-09 03:20:00,72.326,71.426
"28",2020-09-09 03:30:00,73.968,71.164
"29",2020-09-09 03:40:00,74.394,72.614
"30",2020-09-09 03:50:00,74.748,73.03
"31",2020-09-09 04:00:00,75.478,72.848
"32",2020-09-09 04:10:00,76.082,71.85
"33",2020-09-09 04:20:00,75.42,71.166
"34",2020-09-09 04:30:00,75.644,70.262
"35",2020-09-09 04:40:00,76.328,70.366
"36",2020-09-09 04:50:00,76.116,70.206
"37",2020-09-09 05:00:00,74.434,69.626
"38",2020-09-09 05:10:00,73.892,68.276
"39",2020-09-09 05:20:00,74.086,68.092
"40",2020-09-09 05:30:00,71.098,67.232
"41",2020-09-09 05:40:00,71.19,66.592
"42",2020-09-09 05:50:00,72.21,65.344
"43",2020-09-09 06:00:00,71.61,65.064
"44",2020-09-09 06:10:00,69.93,63.882
"45",2020-09-09 06:20:00,67.934,62.414
"46",2020-09-09 06:30:00,67.21,62.736
"47",2020-09-09 06:40:00,67.774,62.646
"48",2020-09-09 06:50:00,66.912,60.94
"49",2020-09-09 07:00:00,65.832,60.426
"50",2020-09-09 07:10:00,65.134,60.11
"51",2020-09-09 07:20:00,65.156,59.338
"52",2020-09-09 07:30:00,64.468,59.044
"53",2020-09-09 07:40:00,63.034,59.166
"54",2020-09-09 07:50:00,63.146,57.912
"55",2020-09-09 08:00:00,62.872,57.278
"56",2020-09-09 08:10:00,62.49,57.234
"57",2020-09-09 08:20:00,62.774,56.73
"58",2020-09-09 08:30:00,62.102,55.992
"59",2020-09-09 08:40:00,61.668,55.64
"60",2020-09-09 08:50:00,61.632,55.226
"61",2020-09-09 09:00:00,61.102,55.914
"62",2020-09-09 09:10:00,61.254,54.72
"63",2020-09-09 09:20:00,61.138,54.8
"64",2020-09-09 09:30:00,60.278,54.682
"65",2020-09-09 09:40:00,60.376,53.478
"66",2020-09-09 09:50:00,60.248,53.858
"67",2020-09-09 10:00:00,60.872,53.862
"68",2020-09-09 10:10:00,58.812,53.266
"69",2020-09-09 10:20:00,59.756,53.268
"70",2020-09-09 10:30:00,58.608,53.77
"71",2020-09-09 10:40:00,58.39,53.384
"72",2020-09-09 10:50:00,58.774,52.81
"73",2020-09-09 11:00:00,58.376,53.734
"74",2020-09-09 11:10:00,59.782,54.134
"75",2020-09-09 11:20:00,60.902,54.708
"76",2020-09-09 11:30:00,60.24,54.268
"77",2020-09-09 11:40:00,59.69,54.412
"78",2020-09-09 11:50:00,61.128,54.742
"79",2020-09-09 12:00:00,59.402,53.538
"80",2020-09-09 12:10:00,58.582,53.208
"81",2020-09-09 12:20:00,59.326,54.73
"82",2020-09-09 12:30:00,59.83,53.69
"83",2020-09-09 12:40:00,60.032,53.724
"84",2020-09-09 12:50:00,57.922,52.798
"85",2020-09-09 13:00:00,57.212,53.396
"86",2020-09-09 13:10:00,56.652,51.106
"87",2020-09-09 13:20:00,56.466,50.588
"88",2020-09-09 13:30:00,55.872,51.024
"89",2020-09-09 13:40:00,56.118,49.904
"90",2020-09-09 13:50:00,56.554,49.588
"91",2020-09-09 14:00:00,56.3,48.94
"92",2020-09-09 14:10:00,56.86,48.996
"93",2020-09-09 14:20:00,55.572,48.718
"94",2020-09-09 14:30:00,54.655,48.915
"95",2020-09-09 14:40:00,55.25,48.11
"96",2020-09-09 14:50:00,54.9575,49.125
"97",2020-09-09 15:00:00,54.525,48.0966666666667
"98",2020-09-09 15:10:00,54.5925,47.8825
"99",2020-09-09 15:20:00,54.1433333333333,47.5116666666667
"100",2020-09-09 15:30:00,53.484,45.948
"101",2020-09-09 15:40:00,52.258,46.146
"102",2020-09-09 15:50:00,52.384,45.956
"103",2020-09-09 16:00:00,52.196,44.782
"104",2020-09-09 16:10:00,51.188,44.626
"105",2020-09-09 16:20:00,50.516,44.248
"106",2020-09-09 16:30:00,49.758,45.06
"107",2020-09-09 16:40:00,50.832,45.502
"108",2020-09-09 16:50:00,50.498,44.262
"109",2020-09-09 17:00:00,49.26,43.092
"110",2020-09-09 17:10:00,49.128,43.066
"111",2020-09-09 17:20:00,49.87,42.468
"112",2020-09-09 17:30:00,49.676,44.206
"113",2020-09-09 17:40:00,49.538,43.66
"114",2020-09-09 17:50:00,48.828,42.276
"115",2020-09-09 18:00:00,47.94,42.648
"116",2020-09-09 18:10:00,48.82,42.8
"117",2020-09-09 18:20:00,49.014,42.692
"118",2020-09-09 18:30:00,47.962,42.956
"119",2020-09-09 18:40:00,47.938,41.844
"120",2020-09-09 18:50:00,47.002,42.042
"121",2020-09-09 19:00:00,46.64,41.798
"122",2020-09-09 19:10:00,46.644,42.04
"123",2020-09-09 19:20:00,47.426,42.806
"124",2020-09-09 19:30:00,46.624,41.482
"125",2020-09-09 19:40:00,38.296,33.346
"126",2020-09-09 19:50:00,30.14,27.412
"127",2020-09-09 20:00:00,25.386,22.386
"128",2020-09-09 20:10:00,22.218,20.25
"129",2020-09-09 20:20:00,19.934,17.458
"130",2020-09-09 20:30:00,17.486,15.72
"131",2020-09-09 20:40:00,16.704,14.6
"132",2020-09-09 20:50:00,15.138,13.678
"133",2020-09-09 21:00:00,14.022,12.858
"134",2020-09-09 21:10:00,13.49,11.776
"135",2020-09-09 21:20:00,12.532,11.628
"136",2020-09-09 21:30:00,10.77,10.246
"137",2020-09-09 21:40:00,9.988,9.878
"138",2020-09-09 21:50:00,9.892,8.476
"139",2020-09-09 22:00:00,9.006,8.334
"140",2020-09-09 22:10:00,9.114,8.41
"141",2020-09-09 22:20:00,8.56,7.972
"142",2020-09-09 22:30:00,8.316,8.09
"143",2020-09-09 22:40:00,8.652,7.992
"144",2020-09-09 22:50:00,8.46,7.71
"145",2020-09-09 23:00:00,8.018,7.23
"146",2020-09-09 23:10:00,7.576,7.528
"147",2020-09-09 23:20:00,7.534,7.834
"148",2020-09-09 23:30:00,7.574,7.85
"149",2020-09-09 23:40:00,7.488,7.18
"150",2020-09-09 23:50:00,6.48,6.906
"151",2020-09-10 00:00:00,6.712,7.09
"152",2020-09-10 00:10:00,6.582,6.52
"153",2020-09-10 00:20:00,6.17,6.038
"154",2020-09-10 00:30:00,5.772,5.592
"155",2020-09-10 00:40:00,5.706,5.168
"156",2020-09-10 00:50:00,5.526,5.266
"157",2020-09-10 01:00:00,5.266,5.184
"158",2020-09-10 01:10:00,4.736,4.946
"159",2020-09-10 01:20:00,5.204,4.454
"160",2020-09-10 01:30:00,5.348,5.872
"161",2020-09-10 01:40:00,6.692,5.926
"162",2020-09-10 01:50:00,7.252,6.73
"163",2020-09-10 02:00:00,7.93,7.494
"164",2020-09-10 02:10:00,8.68,8.35
"165",2020-09-10 02:20:00,9.666,9.454
"166",2020-09-10 02:30:00,10.59,10.614
"167",2020-09-10 02:40:00,11.816,10.914
"168",2020-09-10 02:50:00,12.872,11.552
"169",2020-09-10 03:00:00,12.75,12.372
"170",2020-09-10 03:10:00,13.05,13.364
"171",2020-09-10 03:20:00,14,13.56
"172",2020-09-10 03:30:00,15.092,13.762
"173",2020-09-10 03:40:00,15.278,15.312
"174",2020-09-10 03:50:00,16.964,15.908
"175",2020-09-10 04:00:00,17.344,15.872
"176",2020-09-10 04:10:00,17.292,17.42
"177",2020-09-10 04:20:00,18.336,17.546
"178",2020-09-10 04:30:00,18.74,18.732
"179",2020-09-10 04:40:00,20.23,19.098
"180",2020-09-10 04:50:00,19.48,19.168
"181",2020-09-10 05:00:00,20.568,19.43
"182",2020-09-10 05:10:00,21.484,20.01
"183",2020-09-10 05:20:00,21.434,20.372
"184",2020-09-10 05:30:00,21.406,19.994
"185",2020-09-10 05:40:00,21.156,20.17
"186",2020-09-10 05:50:00,21.756,21.686
"187",2020-09-10 06:00:00,22.142,21.78
"188",2020-09-10 06:10:00,22.66,22.41
"189",2020-09-10 06:20:00,23.936,22.786
"190",2020-09-10 06:30:00,24.732,22.742
"191",2020-09-10 06:40:00,24.33,22.808
"192",2020-09-10 06:50:00,25.124,23.356
"193",2020-09-10 07:00:00,24.824,22.692
"194",2020-09-10 07:10:00,23.672,23.012
