created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-09-08 22:56:36 UTC,125,8.49,10.4,10.63,2,-65,75,23,10.4
2020-09-08 22:58:38 UTC,126,8.07,9.96,10.14,4,-64,76,22,9.96
2020-09-08 23:00:36 UTC,127,8.95,11.45,11.72,6,-67,76,22,11.45
2020-09-08 23:02:36 UTC,128,8.93,11.16,11.69,8,-66,77,21,11.16
2020-09-08 23:05:50 UTC,129,37.24,47.31,48.14,1,-72,77,20,39.88
2020-09-08 23:07:50 UTC,130,39.19,52.3,54.11,3,-71,77,19,42.19
2020-09-08 23:09:50 UTC,131,39.59,51.27,53.68,5,-73,77,19,41.73
2020-09-08 23:11:50 UTC,132,39.67,51.6,53,7,-73,78,19,41.98
2020-09-08 23:13:50 UTC,133,40.12,51.07,52.98,9,-72,78,19,41.77
2020-09-08 23:15:50 UTC,134,36.8,48.18,49.34,11,-70,78,19,40.12
2020-09-08 23:17:50 UTC,135,38.91,51.86,53.34,13,-71,78,18,41.9
2020-09-08 23:19:50 UTC,136,39.22,50.64,52.12,15,-71,78,18,41.27
2020-09-08 23:21:50 UTC,137,39.4,51.09,52.22,17,-71,78,18,41.67
2020-09-08 23:23:50 UTC,138,41.94,54.93,56.33,19,-71,78,18,43.56
2020-09-08 23:25:50 UTC,139,40.29,53.86,55.05,21,-71,78,18,42.93
2020-09-08 23:27:50 UTC,140,41.04,54.66,56.21,23,-68,78,18,42.98
2020-09-08 23:29:50 UTC,141,41.09,54.43,56.14,25,-68,78,18,43.09
2020-09-08 23:31:50 UTC,142,43.24,56.75,58.71,27,-68,78,18,44.2
2020-09-08 23:33:50 UTC,143,42.82,54.61,56.88,29,-71,78,18,43.36
2020-09-08 23:35:50 UTC,144,43.16,57.21,58.77,31,-73,78,18,44.46
2020-09-08 23:37:50 UTC,145,44.17,58.79,60.33,33,-73,78,18,44.76
2020-09-08 23:39:50 UTC,146,44.94,59.04,60.69,35,-70,79,18,45.24
2020-09-08 23:41:50 UTC,147,46.85,61.91,64.15,37,-69,79,18,46.23
2020-09-08 23:43:50 UTC,148,46.4,60.75,62.95,39,-69,79,18,45.51
2020-09-08 23:45:50 UTC,149,46.21,60.86,62.18,41,-69,79,18,45.79
2020-09-08 23:47:50 UTC,150,47.13,61.69,63.13,43,-69,79,18,46.05
2020-09-08 23:49:51 UTC,151,49.3,64.61,66.52,45,-69,79,17,47.48
2020-09-08 23:51:50 UTC,152,49.22,64.95,67.44,47,-69,79,17,47.65
2020-09-08 23:53:50 UTC,153,49.96,66.39,67.82,49,-69,79,17,48.04
2020-09-08 23:55:50 UTC,154,51.84,68.67,70.95,51,-69,79,17,49
2020-09-08 23:57:50 UTC,155,53.05,69.61,71.11,53,-69,79,17,49.34
2020-09-08 23:59:50 UTC,156,52.84,70.68,73.64,55,-69,79,17,49.34
2020-09-09 00:01:50 UTC,157,53.84,72.96,75.28,57,-69,79,17,50.37
2020-09-09 00:03:50 UTC,158,53.95,69.81,72.37,59,-69,79,17,49.33
2020-09-09 00:05:50 UTC,159,53.22,70,72.13,61,-69,79,17,49.22
2020-09-09 00:07:50 UTC,160,55.25,72.05,74.88,63,-68,79,17,50.25
2020-09-09 00:09:50 UTC,161,55.51,74.82,77.09,65,-70,79,17,51.11
2020-09-09 00:11:50 UTC,162,53.72,71.93,74.04,67,-69,79,17,50.15
2020-09-09 00:13:50 UTC,163,53.84,72.18,73.68,69,-68,79,17,50.23
2020-09-09 00:15:50 UTC,164,56.04,73.87,75.98,71,-69,79,17,50.78
2020-09-09 00:17:50 UTC,165,54.07,71.59,73.88,73,-74,79,17,50.09
2020-09-09 00:19:50 UTC,166,55.45,73.84,76.11,75,-73,79,17,50.87
