created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2020-09-08 22:56:39 UTC,124,8.82,12.62,12.87,17760,,1014.39,,12.62
2020-09-08 22:58:41 UTC,125,8.59,11.84,12.29,16584,0.04,1014.03,,11.84
2020-09-08 23:00:38 UTC,126,8.27,11.55,12.52,16584,0.04,1014.3,,11.55
2020-09-08 23:02:38 UTC,127,8.14,11.7,11.89,17040,0.04,1014.16,,11.7
2020-09-08 23:05:52 UTC,128,36.14,49.97,51.59,18096,,1014.29,,40.97
2020-09-08 23:07:52 UTC,129,37.71,51.12,53.8,18864,0.05,1014.15,,41.64
2020-09-08 23:09:52 UTC,130,36.87,50.78,52.67,18864,0.05,1014.12,,41.56
2020-09-08 23:11:52 UTC,131,36.29,50.14,52.82,18864,0.05,1014.05,,41.09
2020-09-08 23:13:52 UTC,132,36.95,51.25,54.33,18864,0.04,1014.04,,41.82
2020-09-08 23:15:53 UTC,133,36.84,50.77,54,19032,0.04,1014.01,,41.3
2020-09-08 23:17:52 UTC,134,36.63,48.69,51.85,18864,0.05,1013.96,,40.41
2020-09-08 23:19:52 UTC,135,38.87,53.78,55.84,18864,0.04,1013.98,,42.98
2020-09-08 23:21:53 UTC,136,38.2,52.36,55.14,19032,0.04,1014.03,,42.38
2020-09-08 23:23:52 UTC,137,37.95,52.14,55.18,18864,0.04,1013.9,,42.16
2020-09-08 23:25:52 UTC,138,38.54,53.31,56.1,18864,0.04,1013.83,,42.58
2020-09-08 23:27:52 UTC,139,38.04,52.35,54.47,18864,0.04,1013.84,,42.31
2020-09-08 23:29:52 UTC,140,39.2,53.13,54.76,18864,0.04,1013.82,,42.84
2020-09-08 23:31:52 UTC,141,39.46,53.89,56.09,18864,0.04,1013.84,,42.77
2020-09-08 23:33:52 UTC,142,40.78,55.57,59.47,19032,0.04,1013.8,,43.53
2020-09-08 23:35:52 UTC,143,42.11,57.37,61.11,18864,0.04,1013.79,,44.47
2020-09-08 23:37:52 UTC,144,41.52,56.64,60.09,18864,0.04,1013.78,,44.23
2020-09-08 23:39:52 UTC,145,42.47,58.18,61.37,18864,0.04,1013.72,,44.93
2020-09-08 23:41:52 UTC,146,42.51,58.31,61.02,18864,0.04,1013.69,,44.76
2020-09-08 23:43:52 UTC,147,43.28,58.86,61.6,18864,0.04,1013.68,,45.05
2020-09-08 23:45:53 UTC,148,44.93,61.93,63.94,18864,0.04,1013.64,,46.2
2020-09-08 23:47:52 UTC,149,44.64,61.96,64.62,18864,0.04,1013.64,,46.39
2020-09-08 23:49:54 UTC,150,45.82,63.11,66.31,19032,0.04,1013.58,,46.67
2020-09-08 23:51:52 UTC,151,44.85,61.51,64.78,18864,0.04,1013.6,,45.95
2020-09-08 23:53:52 UTC,152,46.46,66.24,70.2,19032,0.04,1013.58,,47.91
2020-09-08 23:55:52 UTC,153,47.24,65.25,68.56,18864,0.04,1013.51,,47.49
2020-09-08 23:57:52 UTC,154,46.19,65.31,68.55,18864,0.04,1013.48,,47.52
2020-09-08 23:59:52 UTC,155,49.21,67.89,70.32,18864,0.04,1013.47,,48.7
2020-09-09 00:01:52 UTC,156,48.62,67.34,70.68,18864,0.04,1013.48,,48.34
2020-09-09 00:03:52 UTC,157,49.21,66.62,70.96,18864,0.04,1013.5,,48.23
2020-09-09 00:05:53 UTC,158,51.03,69.25,72.2,18864,0.04,1013.46,,49.31
2020-09-09 00:07:52 UTC,159,50.88,70.16,73.67,18696,0.04,1013.47,,49.69
2020-09-09 00:09:52 UTC,160,50.94,69.85,73.15,18864,0.04,1013.49,,49.6
2020-09-09 00:11:53 UTC,161,50.44,70.07,72.7,19032,0.04,1013.5,,49.43
2020-09-09 00:13:53 UTC,162,52.73,73.23,76.18,18864,0.04,1013.51,,50.39
2020-09-09 00:15:52 UTC,163,49.91,68.14,73.37,18864,0.04,1013.5,,48.65
2020-09-09 00:17:52 UTC,164,51.27,71.44,75.31,18864,0.04,1013.52,,49.87
2020-09-09 00:19:52 UTC,165,51.46,70.44,74.57,18864,0.04,1013.48,,49.57
2020-09-09 00:21:52 UTC,166,52.91,73.59,77.04,18864,0.04,1013.53,,50.77
2020-09-09 00:23:52 UTC,167,52.02,71.23,75.75,18864,0.04,1013.5,,50
2020-09-09 00:25:52 UTC,168,52.45,71.58,75.73,18864,0.04,1013.48,,49.95
2020-09-09 00:27:52 UTC,169,51.26,71.02,74.96,18864,0.04,1013.47,,49.91
2020-09-09 00:29:52 UTC,170,51.53,70.61,74.02,18864,0.04,1013.44,,49.68
2020-09-09 00:31:52 UTC,171,50.82,70.31,73.02,18864,0.04,1013.4,,49.56
2020-09-09 00:33:52 UTC,172,50.55,70.73,74.91,18864,0.04,1013.4,,49.57
2020-09-09 00:35:52 UTC,173,51.4,71.93,74.88,18864,0.04,1013.38,,50.19
2020-09-09 00:37:52 UTC,174,49.67,69.19,72.6,18864,0.04,1013.39,,48.97
2020-09-09 00:39:54 UTC,175,49.47,69.09,71.83,19200,0.04,1012.61,,49.1
2020-09-09 00:41:52 UTC,176,49.11,66.86,69.74,18696,0.04,1013.39,,48.05
2020-09-09 00:43:52 UTC,177,51.28,71.11,74.63,18864,0.04,1010.24,,49.8
2020-09-09 00:45:52 UTC,178,50.35,69.87,73.71,18864,0.04,1013.31,,49.27
2020-09-09 00:47:52 UTC,179,51.16,69.56,73.65,18864,0.04,1013.32,,49.22
2020-09-09 00:49:52 UTC,180,49.84,69.39,73.46,19032,0.04,1013.33,,49.14
2020-09-09 00:51:52 UTC,181,50.36,69.38,73.8,19032,0.04,1013.33,,49.27
2020-09-09 00:53:52 UTC,182,49.79,69.21,73,18864,0.04,1013.32,,49.12
2020-09-09 00:55:52 UTC,183,50.98,71.05,73.93,18864,0.04,1013.25,,49.95
2020-09-09 00:57:52 UTC,184,51.56,70.61,74.49,18864,0.04,1013.3,,49.75
2020-09-09 00:59:55 UTC,185,51.62,70.89,76.66,19200,0.04,1013.3,,49.66
2020-09-09 01:01:52 UTC,186,50.11,67.78,71.2,18864,0.04,1013.23,,48.58
2020-09-09 01:03:52 UTC,187,51.25,70.4,74.25,18864,0.04,1013.24,,49.72
2020-09-09 01:05:53 UTC,188,50.54,71.1,74.27,18696,0.04,1013.22,,49.88
2020-09-09 01:07:53 UTC,189,50.69,69.8,72.42,18696,0.04,1013.25,,49.36
2020-09-09 01:09:53 UTC,190,52.47,73.22,76.96,18864,0.04,1013.15,,50.58
2020-09-09 01:11:52 UTC,191,51.02,72.08,77.25,18864,0.04,1013.15,,50.28
2020-09-09 01:13:52 UTC,192,51.5,72,76.17,18864,0.04,1013.14,,50.17
2020-09-09 01:15:52 UTC,193,52.11,71.23,76.95,19032,0.04,1013.07,,49.82
2020-09-09 01:17:52 UTC,194,52.54,73.81,77.74,18864,0.04,1013.12,,50.81
2020-09-09 01:19:52 UTC,195,52.85,72.6,77.81,19032,0.04,1013.13,,50.49
2020-09-09 01:21:52 UTC,196,52.25,71.53,74.56,18864,0.04,1012.31,,49.95
2020-09-09 01:23:52 UTC,197,53.16,74.19,77.72,18864,0.04,1013.16,,51.05
2020-09-09 01:25:52 UTC,198,52.09,71.91,75.5,18864,0.04,1013.11,,50
2020-09-09 01:27:52 UTC,199,51.95,72.91,77.4,18864,0.04,1013.1,,50.6
2020-09-09 01:29:52 UTC,200,50.24,68.98,72.29,18864,0.04,1013.13,,49.08
2020-09-09 01:31:52 UTC,201,50.5,70.14,74.34,18864,0.04,1013.1,,49.55
2020-09-09 01:33:52 UTC,202,51.34,70.66,75.66,18864,0.04,1013.12,,49.62
2020-09-09 01:35:52 UTC,203,48.43,69.28,72.28,19032,0.04,1013.05,,49.25
2020-09-09 01:37:52 UTC,204,49.93,68.73,72.07,19032,0.04,1013.06,,48.73
2020-09-09 01:39:52 UTC,205,49.6,69.96,74.61,18864,0.04,1013.02,,49.47
2020-09-09 01:41:52 UTC,206,50.89,70.34,73.84,18864,0.04,1012.96,,49.52
2020-09-09 01:43:52 UTC,207,49.38,67.83,71.75,18864,0.04,1012.94,,48.75
2020-09-09 01:45:52 UTC,208,50.6,68.86,72.51,18864,0.04,1012.94,,49.05
2020-09-09 01:47:52 UTC,209,49.75,68.81,71.61,18864,0.04,1012.93,,49.02
2020-09-09 01:49:52 UTC,210,50.27,69.5,72.86,18864,0.04,1012.92,,49.07
2020-09-09 01:51:53 UTC,211,51.24,70,74.24,18864,0.04,1012.91,,49.54
2020-09-09 01:53:52 UTC,212,49.81,70.19,74.22,18864,0.04,1012.91,,49.67
2020-09-09 01:55:52 UTC,213,49.74,69.02,72.6,18864,0.04,1012.92,,49.14
2020-09-09 01:57:52 UTC,214,49.7,68.63,71.5,18864,0.04,1012.93,,48.82
2020-09-09 01:59:52 UTC,215,51.16,71.22,75.35,18864,0.04,1012.93,,49.78
2020-09-09 02:01:53 UTC,216,50.7,69.11,73.21,19032,0.04,1012.91,,49.11
2020-09-09 02:03:52 UTC,217,51.69,69.39,72.15,18864,0.04,1012.93,,49.31
2020-09-09 02:05:53 UTC,218,50.52,70.12,73.9,18864,0.04,1012.88,,49.53
2020-09-09 02:07:52 UTC,219,50.21,69.02,71.95,18696,0.04,1012.84,,48.98
2020-09-09 02:09:52 UTC,220,49.19,68.26,72.09,18864,0.04,1012.88,,48.83
2020-09-09 02:11:53 UTC,221,48.39,66.09,70.18,18864,0.04,1012.93,,47.91
2020-09-09 02:13:52 UTC,222,50.45,69.57,74.62,18864,0.04,1012.91,,49.1
2020-09-09 02:15:52 UTC,223,50.23,68.84,72.5,18864,0.04,1012.88,,49.11
2020-09-09 02:17:53 UTC,224,49.54,68.8,71.74,19032,0.04,1012.86,,48.7
2020-09-09 02:19:52 UTC,225,46.73,65.93,69.15,18864,0.04,1012.88,,47.76
2020-09-09 02:21:52 UTC,226,49.09,67.88,71.07,18864,0.04,1012.87,,48.74
2020-09-09 02:23:52 UTC,227,50.02,69.46,72.43,18864,0.04,1012.83,,49.32
2020-09-09 02:25:52 UTC,228,49.81,69.62,73.29,18864,0.04,1012.73,,49.31
2020-09-09 02:27:52 UTC,229,48.5,66.26,69.43,18864,0.04,1012.85,,47.94
2020-09-09 02:29:52 UTC,230,49.45,67.69,70.48,18864,0.04,1012.86,,48.71
