created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%
2020-03-04 00:00:34 UTC,5343,0,0.03,0.03,7377,-80,56,56
2020-03-04 00:02:34 UTC,5344,0,0,0,7379,-79,55,55
2020-03-04 00:04:34 UTC,5345,0.09,0.17,0.17,7381,-81,55,56
2020-03-04 00:06:34 UTC,5346,0,0.03,0.03,7383,-79,56,56
2020-03-04 00:08:34 UTC,5347,0.17,0.5,0.5,7385,-81,56,54
2020-03-04 00:10:34 UTC,5348,0,0.22,0.35,7387,-79,56,56
2020-03-04 00:12:34 UTC,5349,0.06,0.33,0.82,7389,-81,56,55
2020-03-04 00:14:34 UTC,5350,0,0.43,0.46,7391,-80,55,56
2020-03-04 00:16:36 UTC,5351,0.35,0.53,0.72,7393,-80,55,56
2020-03-04 00:18:34 UTC,5352,0,0.09,0.17,7395,-81,55,56
2020-03-04 00:20:34 UTC,5353,0,0.12,0.12,7397,-81,55,55
2020-03-04 00:22:34 UTC,5354,0.09,0.64,0.71,7399,-79,54,54
2020-03-04 00:24:34 UTC,5355,0.09,0.14,0.2,7401,-78,55,55
2020-03-04 00:26:34 UTC,5356,0,0,0.31,7403,-83,56,55
2020-03-04 00:28:34 UTC,5357,0,0,0.26,7405,-78,56,55
2020-03-04 00:30:34 UTC,5358,0,0.2,0.48,7407,-80,56,54
2020-03-04 00:32:34 UTC,5359,0,0.14,0.14,7409,-79,56,54
2020-03-04 00:34:34 UTC,5360,0,0.17,0.17,7411,-81,55,54
2020-03-04 00:36:35 UTC,5361,0.04,0.13,0.13,7413,-82,55,54
2020-03-04 00:38:34 UTC,5362,0,0,0,7415,-81,55,55
2020-03-04 00:40:34 UTC,5363,0,0,0,7417,-81,56,55
2020-03-04 00:42:34 UTC,5364,0,0.2,0.2,7419,-79,56,54
2020-03-04 00:44:34 UTC,5365,0,0.23,0.23,7421,-79,55,54
2020-03-04 00:46:34 UTC,5366,0,0.13,0.54,7423,-79,55,55
2020-03-04 00:48:34 UTC,5367,0,0.5,0.68,7425,-81,54,55
2020-03-04 00:50:34 UTC,5368,0.03,0.22,0.29,7427,-79,55,57
2020-03-04 00:52:34 UTC,5369,0,0.2,0.35,7429,-79,57,56
2020-03-04 00:54:34 UTC,5370,0.01,0.15,0.16,7431,-79,58,55
2020-03-04 00:56:34 UTC,5371,0,0.04,0.19,7433,-79,56,53
2020-03-04 00:58:34 UTC,5372,0.24,0.32,0.32,7435,-81,56,55
2020-03-04 01:00:34 UTC,5373,0,0.07,0.29,7437,-79,56,56
2020-03-04 01:02:34 UTC,5374,0,0,0.18,7439,-80,55,54
2020-03-04 01:04:34 UTC,5375,0,0.41,0.41,7441,-79,56,56
2020-03-04 01:06:34 UTC,5376,0.03,0.21,0.21,7443,-83,57,54
2020-03-04 01:08:34 UTC,5377,0,0.21,0.49,7445,-80,56,54
2020-03-04 01:10:34 UTC,5378,0,0.15,0.31,7447,-79,56,53
