created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ
2020-03-04 00:00:37 UTC,5346,0,0,0,19864,0.05,1012.59,
2020-03-04 00:02:37 UTC,5347,0,0.07,0.07,19184,0.05,1012.52,
2020-03-04 00:04:37 UTC,5348,0,0,0.1,19184,0.05,1012.51,
2020-03-04 00:06:38 UTC,5349,0.16,0.31,0.38,19016,0.05,1012.78,
2020-03-04 00:08:37 UTC,5350,0.09,0.18,0.26,19184,0.05,1012.77,
2020-03-04 00:10:37 UTC,5351,0.03,0.3,0.3,19864,0.06,1012.76,
2020-03-04 00:12:37 UTC,5352,0,0.13,0.13,19184,0.06,1012.75,
2020-03-04 00:14:37 UTC,5353,0.07,0.38,0.38,19352,0.06,1012.74,
2020-03-04 00:16:40 UTC,5354,0,0.37,0.46,20032,0.06,1012.82,
2020-03-04 00:18:37 UTC,5355,0,0.04,0.44,19528,0.06,1012.79,
2020-03-04 00:20:37 UTC,5356,0,0,0.24,19352,0.06,1012.85,
2020-03-04 00:22:37 UTC,5357,0,0.09,0.1,19696,0.06,1012.9,
2020-03-04 00:24:37 UTC,5358,0,0,0.05,19696,0.06,1012.8,
2020-03-04 00:26:37 UTC,5359,0,0,0.28,19184,0.06,1012.6,
2020-03-04 00:28:37 UTC,5360,0,0.27,0.27,19352,0.05,1012.66,
2020-03-04 00:30:37 UTC,5361,0,0,0,19696,0.05,1012.71,
2020-03-04 00:32:37 UTC,5362,0,0.2,0.2,19696,0.06,1012.87,
2020-03-04 00:34:37 UTC,5363,0,0.07,0.07,19352,0.06,1012.5,
2020-03-04 00:36:38 UTC,5364,0,0.06,0.06,19352,0.05,1012.67,
2020-03-04 00:38:40 UTC,5365,0,0.09,0.14,19520,0.05,1012.61,
2020-03-04 00:40:37 UTC,5366,0.28,0.46,0.46,19696,0.05,1012.52,
2020-03-04 00:42:37 UTC,5367,0,0.05,0.15,19184,0.06,1012.51,
2020-03-04 00:44:37 UTC,5368,0,0.15,0.15,19184,0.06,1012.59,
2020-03-04 00:46:37 UTC,5369,0,0.16,0.16,19352,0.06,1012.53,
2020-03-04 00:48:37 UTC,5370,0,0.16,0.41,19184,0.05,1012.4,
2020-03-04 00:50:37 UTC,5371,0.09,0.51,0.61,19184,0.06,1012.39,
2020-03-04 00:52:37 UTC,5372,0,0.26,0.26,19864,0.06,1012.4,
2020-03-04 00:54:37 UTC,5373,0,0.07,0.07,19696,0.06,1012.56,
2020-03-04 00:56:37 UTC,5374,0,0,0.19,19352,0.06,1012.3,
2020-03-04 00:58:37 UTC,5375,0,0.18,0.18,19864,0.06,1012.16,
2020-03-04 01:00:37 UTC,5376,0,0,0,19352,0.06,1012.25,
2020-03-04 01:02:37 UTC,5377,0.04,0.52,0.68,19696,0.06,1012.32,
2020-03-04 01:04:38 UTC,5378,0,0.28,0.4,19528,0.06,1012.18,
2020-03-04 01:06:38 UTC,5379,0,0.1,0.17,19016,0.06,1012.22,
