"","TimeStamp_1h","Spot_O","Model_O","RH_O","CO2_O","BP_O","TempC_O","PM1_O","PM25_O","PM10_O","Spot_M","Model_M","RH_M","CO2_M","BP_M","TempC_M","PM1_M","PM25_M","PM10_M","Spot_E","Model_E","RH_E","CO2_E","BP_E","TempC_E","PM1_E","PM25_E","PM10_E","Wind Speed (m/s)","Wind Direction","TOSAC","Opening","Bscat.rev","Tower_Neph","Bellevue","Weller","LFP","Lynnwood","Duwamish","Lynn_Dis","LFP_Dis","Wel_Dis","Bel_Dis","Duw_Dis","occupancy","Wind_NS","Lynn_Travel","LFP_Travel","Wel_Travel","Bel_Travel","Duw_Travel"
"1",2019-08-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,5,3.7,2.5,5.3,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"2",2019-08-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,8,3.6,2.7,5.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"3",2019-08-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,5,3.6,2.7,4.8,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"4",2019-08-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,3.6,2.8,3.9,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"5",2019-08-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3,2.6,2.4,4.7,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"6",2019-08-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,4,2.3,1.7,5.8,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"7",2019-08-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3,3.5,1.9,7.1,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"8",2019-08-01 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4.1,2.2,6.9,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"9",2019-08-01 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4,3.8,3.3,5.8,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"10",2019-08-01 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3.9,3.1,6.5,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
