PA_Low_A,PA_Low_B,ID_10m,PM25,TempC,RH,CO2
0.648,2.312,3/4/2020 6:00:00 PM,3.753262715,21.6,33.5,572
0.36,0.674,3/4/2020 6:10:00 PM,3.730344490,22.25,32,490.5
0.284,0.568,3/4/2020 6:20:00 PM,3.466901726,22.75,31,499
0.69,0.576,3/4/2020 6:30:00 PM,3.399942831,23.25,30,481
0.432,0.648,3/4/2020 6:40:00 PM,3.436084202,23.6,29.5,455.5
0.416,0.608,3/4/2020 6:50:00 PM,3.427920280,23.65,29,447.5
0.582,0.578,3/4/2020 7:00:00 PM,3.509204868,23.95,29,437
0.572,0.724,3/4/2020 7:10:00 PM,3.243025152,23.9,29,453
0.344,0.416,3/4/2020 7:20:00 PM,3.222103967,23.85,29,440.5
0.26,3.522,3/4/2020 7:30:00 PM,3.024372886,23.75,29,424
0.638,15.946,3/4/2020 7:40:00 PM,3.152608950,23.85,28.5,417.5
0.41,17.028,3/4/2020 7:50:00 PM,3.029871350,23.95,28,405
0.606,22.882,3/4/2020 8:00:00 PM,3.087733438,23.95,28,418.5
0.538,48.244,3/4/2020 8:10:00 PM,3.025879151,23.75,28,412
0.744,16.082,3/4/2020 8:20:00 PM,3.018653811,23.75,28,416.5
0.662,0.748,3/4/2020 8:30:00 PM,3.012914651,23.9,28,411.5
0.732,0.646,3/4/2020 8:40:00 PM,2.940190560,23.95,28,409.5
0.654,0.68,3/4/2020 8:50:00 PM,2.838743718,23.75,28,411
0.362,0.384,3/4/2020 9:00:00 PM,2.699678834,23.8,27,403
0.374,0.688,3/4/2020 9:10:00 PM,2.873415155,23.95,27,412
0.236,0.584,3/4/2020 9:20:00 PM,2.576111317,23.95,27,407
0.152,0.668,3/4/2020 9:30:00 PM,2.485914354,23.9,26.5,411.5
0.268,2.466,3/4/2020 9:40:00 PM,2.354071734,24,26,419
0.26,5.92,3/4/2020 9:50:00 PM,2.413390052,23.9,26,428
0.19,6.256,3/4/2020 10:00:00 PM,2.497326875,23.9,26,427.5
0.066,11.518,3/4/2020 10:10:00 PM,2.524608627,23.9,26,430
0.27,12.242,3/4/2020 10:20:00 PM,2.411788901,23.95,26,419.5
0.294,10.334,3/4/2020 10:30:00 PM,2.348986423,24.05,25.5,414
0.2,10.24,3/4/2020 10:40:00 PM,2.503003389,24,25.5,415
0.4275,21.77,3/4/2020 10:50:00 PM,2.553917954,23.9,25,411.5
0.358,23.84,3/4/2020 11:00:00 PM,2.405694811,24.05,25,405.5
0.416,20.542,3/4/2020 11:10:00 PM,2.400043671,23.9,25,401
0.172,16.774,3/4/2020 11:20:00 PM,2.428896369,24.05,25,408.5
0.124,25.004,3/4/2020 11:30:00 PM,2.352155367,24.1,24.5,401.5
0.216,14.758,3/4/2020 11:40:00 PM,2.245125218,23.95,24.5,396.5
0.196,2.724,3/4/2020 11:50:00 PM,2.287753467,23.9,25,398
0.198,0.892,3/5/2020 12:00:00 AM,2.181525343,24.05,24,394
0.27,0.656,3/5/2020 12:10:00 AM,2.230971372,24.05,24,383
0.09,0.988,3/5/2020 12:20:00 AM,2.202689919,24.25,23.5,378.5
0.052,12.432,3/5/2020 12:30:00 AM,2.119563789,24.4,23,378
0.162,34.128,3/5/2020 12:40:00 AM,1.969530351,24.3,23,375.5
0.166,34.494,3/5/2020 12:50:00 AM,1.884702389,24.15,23,368.5
0.08,26.716,3/5/2020 1:00:00 AM,1.765913027,24.15,23,366
0.124,16.852,3/5/2020 1:10:00 AM,1.687193825,24.15,23.5,361
0.052,3.47,3/5/2020 1:20:00 AM,1.777432765,24.25,23,357.5
0.08,0.11,3/5/2020 1:30:00 AM,1.789280456,24.05,23,349.5
0.04,0.064,3/5/2020 1:40:00 AM,1.740480191,24.25,23,348.5
0.052,0.032,3/5/2020 1:50:00 AM,1.723236294,24.15,23,344
0.064,0.01,3/5/2020 2:00:00 AM,1.777316599,24,23,342
0.192,0.116,3/5/2020 2:10:00 AM,1.769878936,24.05,23,340.5
0.118,0.056,3/5/2020 2:20:00 AM,1.788559867,23.65,23.5,338.5
0.074,1.392,3/5/2020 2:30:00 AM,1.821429476,24,23.5,343
0.236,23.264,3/5/2020 2:40:00 AM,1.759974842,24.05,24,346
0.114,17.832,3/5/2020 2:50:00 AM,1.655169132,24.1,24,348.5
0.134,9.234,3/5/2020 3:00:00 AM,1.592766154,24.05,24,352
0.124,11.99,3/5/2020 3:10:00 AM,1.569930458,24.1,24,351
0.07,15.138,3/5/2020 3:20:00 AM,1.590290823,24.2,24,350.5
0.128,17.194,3/5/2020 3:30:00 AM,1.598313967,24.2,24,353
0.018,20.346,3/5/2020 3:40:00 AM,1.646932115,24.15,24,347
0.058,27.336,3/5/2020 3:50:00 AM,1.733402264,24.15,24,345.5
0.122,36.762,3/5/2020 4:00:00 AM,1.761412231,24.1,24,345
0.216,43.75,3/5/2020 4:10:00 AM,1.829330632,24.15,24,344
0.062,48,3/5/2020 4:20:00 AM,1.887393424,24.05,24.5,344
0.202,48.664,3/5/2020 4:30:00 AM,1.937791204,24.1,25,343
0.204,49.822,3/5/2020 4:40:00 AM,1.968286775,24.05,25,341.5
0.214,48.03,3/5/2020 4:50:00 AM,1.980380248,24.15,25,340.5
0.21,47.614,3/5/2020 5:00:00 AM,2.130418008,24.1,25,340.5
0.326,45.696,3/5/2020 5:10:00 AM,2.169545468,24,25,340
0.236,42.134,3/5/2020 5:20:00 AM,2.281295243,24.1,25,340.5
0.65,26.848,3/5/2020 5:30:00 AM,2.217905910,24.1,25,340
