PA_Floor_A,PA_Floor_B,ID_10m,PM25,TempC,RH,CO2
10.18,12.23,9/8/2020 11:00:00 PM,15.309748188,25,20,522.5
34.698,35.024,9/8/2020 11:10:00 PM,15.133560690,25.05,20.5,523.5
50.67,50.926,9/8/2020 11:20:00 PM,15.092442088,25.2,20,516.5
53.794,52.658,9/8/2020 11:30:00 PM,15.859703245,25.35,20,513
57.28,56.33,9/8/2020 11:40:00 PM,16.865395948,25.45,20,510.5
61.964,60.834,9/8/2020 11:50:00 PM,18.410940613,25.55,20,508.5
68.06,65.24,9/9/2020 12:00:00 AM,20.044921042,25.5,20,508.5
71.928,68.644,9/9/2020 12:10:00 AM,21.377737770,25.6,20,509
72.682,70.664,9/9/2020 12:20:00 AM,22.137821944,25.55,20,509
74.41,71.606,9/9/2020 12:30:00 AM,22.425828704,25.65,20,508
75.358,70.25,9/9/2020 12:40:00 AM,21.852318711,25.4,20,507.5
75.246,69.358,9/9/2020 12:50:00 AM,21.643050069,25.25,21,507
73.584,70.228,9/9/2020 1:00:00 AM,21.663244028,25.05,21,508.5
76.07,70.46,9/9/2020 1:10:00 AM,22.143948323,24.95,21,510
77.082,72.344,9/9/2020 1:20:00 AM,22.563338100,25,21,513
74.414,71.904,9/9/2020 1:30:00 AM,22.274739197,25.2,21.5,512.5
71.604,69.754,9/9/2020 1:40:00 AM,21.809279293,25.55,21,511.5
70.706,69.068,9/9/2020 1:50:00 AM,21.925730618,25.85,21,509
69.238,69.812,9/9/2020 2:00:00 AM,21.778987426,25.95,21,506.5
69.814,69.18,9/9/2020 2:10:00 AM,21.613839568,26.05,21,505.5
70.824,67.846,9/9/2020 2:20:00 AM,21.733568554,26.2,21,504
68.236,68.182,9/9/2020 2:30:00 AM,21.146595176,26.2,21,504
68.052,67.7,9/9/2020 2:40:00 AM,21.198924883,26.25,21,502.5
68.084,68.068,9/9/2020 2:50:00 AM,21.367400030,26.25,21,503.5
69.842,68.45,9/9/2020 3:00:00 AM,21.644533833,26.3,22,502.5
70.554,70.312,9/9/2020 3:10:00 AM,21.859376934,26.3,22,504
72.326,71.426,9/9/2020 3:20:00 AM,22.449212074,26.3,22,503
73.968,71.164,9/9/2020 3:30:00 AM,22.742931781,26.3,22,503.5
74.394,72.614,9/9/2020 3:40:00 AM,22.900705945,26.35,22,502.5
74.748,73.03,9/9/2020 3:50:00 AM,23.066088168,26.35,22,503.5
75.478,72.848,9/9/2020 4:00:00 AM,23.109896914,26.3,22,505
76.082,71.85,9/9/2020 4:10:00 AM,23.013139265,26.4,22,504.5
75.42,71.166,9/9/2020 4:20:00 AM,23.258166432,26.4,22,503.5
75.644,70.262,9/9/2020 4:30:00 AM,23.250777102,26.4,22,502.5
76.328,70.366,9/9/2020 4:40:00 AM,23.042402853,26.4,22.5,503
76.116,70.206,9/9/2020 4:50:00 AM,22.740234365,26.35,22.5,504.5
74.434,69.626,9/9/2020 5:00:00 AM,22.612058811,26.4,23,504
73.892,68.276,9/9/2020 5:10:00 AM,22.559855287,26.4,23,505
74.086,68.092,9/9/2020 5:20:00 AM,22.493897162,26.35,23,504.5
71.098,67.232,9/9/2020 5:30:00 AM,22.254567713,26.4,23,504
71.19,66.592,9/9/2020 5:40:00 AM,21.842861406,26.4,23,503.5
72.21,65.344,9/9/2020 5:50:00 AM,21.806492305,26.4,23,503.5
71.61,65.064,9/9/2020 6:00:00 AM,21.350584744,26.4,23,504
69.93,63.882,9/9/2020 6:10:00 AM,21.414515141,26.35,23,503
67.934,62.414,9/9/2020 6:20:00 AM,21.088650330,26.4,23,504
67.21,62.736,9/9/2020 6:30:00 AM,20.986835998,26.4,23,504
67.774,62.646,9/9/2020 6:40:00 AM,20.905799480,26.4,23,502.5
66.912,60.94,9/9/2020 6:50:00 AM,20.617862155,26.4,23,502
65.832,60.426,9/9/2020 7:00:00 AM,20.409478550,26.4,23.5,502.5
65.134,60.11,9/9/2020 7:10:00 AM,20.274401822,26.4,24,502.5
65.156,59.338,9/9/2020 7:20:00 AM,20.127853205,26.4,24,502.5
64.468,59.044,9/9/2020 7:30:00 AM,19.940774470,26.45,24,503
63.034,59.166,9/9/2020 7:40:00 AM,19.882753705,26.45,24,502.5
63.146,57.912,9/9/2020 7:50:00 AM,19.746409603,26.45,24,502.5
62.872,57.278,9/9/2020 8:00:00 AM,19.620424292,26.5,24,502.5
62.49,57.234,9/9/2020 8:10:00 AM,19.632653559,26.4,24,503
62.774,56.73,9/9/2020 8:20:00 AM,19.526218858,26.4,24,502
62.102,55.992,9/9/2020 8:30:00 AM,19.329191484,26.5,24,502
61.668,55.64,9/9/2020 8:40:00 AM,19.221451298,26.45,24,502
61.632,55.226,9/9/2020 8:50:00 AM,19.323785541,26.5,24,502.5
61.102,55.914,9/9/2020 9:00:00 AM,19.237552071,26.5,24,502
61.254,54.72,9/9/2020 9:10:00 AM,19.220299886,26.5,24,502
61.138,54.8,9/9/2020 9:20:00 AM,19.171621863,26.45,24,502.5
60.278,54.682,9/9/2020 9:30:00 AM,19.146943074,26.45,24,502.5
60.376,53.478,9/9/2020 9:40:00 AM,19.132184296,26.45,24,502.5
60.248,53.858,9/9/2020 9:50:00 AM,19.049507016,26.45,24,502.5
60.872,53.862,9/9/2020 10:00:00 AM,18.930419752,26.5,24,503
58.812,53.266,9/9/2020 10:10:00 AM,18.867614325,26.5,24,502.5
59.756,53.268,9/9/2020 10:20:00 AM,18.955149924,26.45,24,503
58.608,53.77,9/9/2020 10:30:00 AM,18.911533338,26.5,24,502
58.39,53.384,9/9/2020 10:40:00 AM,18.739266086,26.45,24,502
58.774,52.81,9/9/2020 10:50:00 AM,18.871177429,26.4,24,502
58.376,53.734,9/9/2020 11:00:00 AM,18.941021655,26.4,24,503
59.782,54.134,9/9/2020 11:10:00 AM,19.258351674,26.5,24,504
60.902,54.708,9/9/2020 11:20:00 AM,19.298484150,26.5,24,503
60.24,54.268,9/9/2020 11:30:00 AM,19.470885112,26.45,24,502.5
